OBJECTID_1,OBJECTID,Id,GridID,Total,Shape__Area,Shape__Length
1,1690,0,1690,4,6969599.8380127,10559.9998773336
2,725,0,725,4,6969599.83813477,10559.9998773336
3,1789,0,1789,3,6969600.70410156,10560.0005334914
4,909,0,909,3,6969599.83813477,10559.9998773336
5,2462,0,2462,1,6969599.8380127,10559.9998773336
6,2761,0,2761,4,6969599.8380127,10559.9998773336
7,2176,0,2176,2,6969600.7043457,10560.0005335212
8,1883,0,1883,2,6969600.70422363,10560.0005335212
9,1501,0,1501,5,6969599.8380127,10559.9998773336
10,2880,0,2880,5,6969600.70422363,10560.0005334914
11,1355,0,1355,2,6969599.83813477,10559.9998773336
12,2988,0,2988,4,6969599.8380127,10559.9998773336
13,1848,0,1848,2,6969599.8380127,10559.9998773336
14,1870,0,1870,0,6969599.8380127,10559.9998773336
15,1487,0,1487,4,6969599.8380127,10559.9998773336
16,2636,0,2636,2,6969599.8380127,10559.9998773336
17,383,0,383,5,6969599.8380127,10559.9998773336
18,1609,0,1609,5,6969599.8380127,10559.9998773336
19,3381,0,3381,2,6969601.5703125,10560.0011896491
20,782,0,782,4,6969599.8380127,10559.9998773336
21,703,0,703,4,6969599.8380127,10559.9998773336
22,2921,0,2921,5,6969599.83813477,10559.9998773336
23,4027,0,4027,2,6969600.7043457,10560.0005334914
24,1999,0,1999,2,6969600.70422363,10560.0005335212
25,3224,0,3224,4,6969599.83813477,10559.9998773336
26,3323,0,3323,5,6969600.70422363,10560.0005334914
27,2416,0,2416,1,6969600.70422363,10560.0005334914
28,1118,0,1118,1,6969599.83813477,10559.9998773336
29,1811,0,1811,0,6969599.83813477,10559.9998773336
30,2629,0,2629,3,6969599.83813477,10559.9998773336
31,3970,0,3970,3,6969599.83813477,10559.9998773336
32,942,0,942,0,6969600.70422363,10560.0005334914
33,2582,0,2582,3,6969599.8380127,10559.9998773336
34,1133,0,1133,4,6969599.83813477,10559.9998773336
35,547,0,547,2,6969599.83813477,10559.9998773336
36,3844,0,3844,1,6969599.83813477,10559.9998773336
37,1196,0,1196,1,6969599.83813477,10559.9998773336
38,2155,0,2155,5,6969600.7043457,10560.0005335212
39,3441,0,3441,4,6969599.8380127,10559.9998773336
40,952,0,952,5,6969600.70422363,10560.0005334914
41,934,0,934,4,6969601.5703125,10560.0011896491
42,1656,0,1656,4,6969599.8380127,10559.9998773336
43,1987,0,1987,4,6969599.8380127,10559.9998773336
44,427,0,427,4,6969599.8380127,10559.9998773336
45,3674,0,3674,2,6969599.83813477,10559.9998773336
46,1134,0,1134,4,6969599.83813477,10559.9998773336
47,1254,0,1254,1,6969599.8380127,10559.9998773336
48,1208,0,1208,4,6969599.83813477,10559.9998773336
49,1183,0,1183,4,6969599.83813477,10559.9998773336
50,974,0,974,1,6969600.70422363,10560.0005334914
51,609,0,609,4,6969599.83813477,10559.9998773336
52,1294,0,1294,3,6969599.83813477,10559.9998773336
53,2640,0,2640,1,6969599.83813477,10559.9998773336
54,3622,0,3622,3,6969599.83813477,10559.9998773336
55,2009,0,2009,4,6969599.8380127,10559.9998773336
56,698,0,698,2,6969599.8380127,10559.9998773336
57,3572,0,3572,5,6969599.83813477,10559.9998773336
58,3968,0,3968,1,6969599.83813477,10559.9998773336
